Time, Average Temperature F, Average Temperature C, Number of Data Points Averaged
2020-01-01 00:15:00, 50.4104094111111, 10.2280052555556, 90
2020-01-01 00:30:00, 50.9344473444444, 10.5191374555556, 90
2020-01-01 00:45:00, 51.3207338444444, 10.7337410444444, 90
2020-01-01 01:00:00, 49.8518771333333, 9.91770953333333, 90
2020-01-01 01:15:00, 50.4875490666667, 10.2708606111111, 90
2020-01-01 01:30:00, 54.7311370444444, 12.6284095555556, 90
2020-01-01 01:45:00, 55.7869233666667, 13.2149574222222, 90
2020-01-01 02:00:00, 55.1336537111111, 12.8520298666667, 90
2020-01-01 02:15:00, 54.4119250111111, 12.4510694555556, 90
2020-01-01 02:30:00, 53.3652329444444, 11.8695738777778, 90
2020-01-01 02:45:00, 53.8725684333333, 12.1514268333333, 90
2020-01-01 03:00:00, 54.1888446555556, 12.3271358888889, 90
2020-01-01 03:15:00, 52.8044437, 11.5580242777778, 90
2020-01-01 03:30:00, 52.9621010111111, 11.6456116666667, 90
2020-01-01 03:45:00, 52.2821365222222, 11.2678536333333, 90
2020-01-01 04:00:00, 51.4569894666667, 10.8094385777778, 90
2020-01-01 04:15:00, 49.7300938555556, 9.85005217777778, 90
2020-01-01 04:30:00, 49.9575727555556, 9.97642928888889, 90
2020-01-01 04:45:00, 50.5693832111111, 10.3163240222222, 90
2020-01-01 05:00:00, 52.3256575444444, 11.2920319555556, 90
2020-01-01 05:15:00, 50.4978994777778, 10.2766108222222, 90
2020-01-01 05:30:00, 49.0237593555556, 9.45764406666667, 90
2020-01-01 05:45:00, 48.8227174666667, 9.34595417777778, 90
2020-01-01 06:00:00, 48.4837759777778, 9.15765326666667, 90
2020-01-01 06:15:00, 47.3812540222222, 8.54514115555556, 90
2020-01-01 06:30:00, 47.4034344888889, 8.55746363333333, 90
2020-01-01 06:45:00, 47.9906969555556, 8.88372048888889, 90
2020-01-01 07:00:00, 47.2559949111111, 8.47555272222222, 90
2020-01-01 07:15:00, 47.2226298666667, 8.45701654444444, 90
2020-01-01 07:30:00, 47.4542396666667, 8.58568865555556, 90
2020-01-01 07:45:00, 48.8936520444444, 9.38536222222222, 90
2020-01-01 08:00:00, 49.5870067, 9.77055931111111, 90
2020-01-01 08:15:00, 52.2183119222222, 11.2323955111111, 90
2020-01-01 08:30:00, 55.8339157666667, 13.2410643333333, 90
2020-01-01 08:45:00, 58.8867019888889, 14.9370565888889, 90
2020-01-01 09:00:00, 59.5454965888889, 15.3030537666667, 90
2020-01-01 09:15:00, 60.4215781555556, 15.7897656222222, 90
2020-01-01 09:30:00, 61.9635450555556, 16.646414, 90
2020-01-01 09:45:00, 62.7958861555556, 17.1088256222222, 90
2020-01-01 10:00:00, 65.5651135, 18.6472852333333, 90
2020-01-01 10:15:00, 66.7241586666667, 19.2911992666667, 90
2020-01-01 10:30:00, 67.2646119888889, 19.5914511333333, 90
2020-01-01 10:45:00, 69.631677, 20.9064871888889, 90
2020-01-01 11:00:00, 69.6507410666667, 20.9170783777778, 90
2020-01-01 11:15:00, 68.7242792, 20.4023773777778, 90
2020-01-01 11:30:00, 70.0039369888889, 21.1132983888889, 90
2020-01-01 11:45:00, 71.2786020777778, 21.8214456111111, 90
2020-01-01 12:00:00, 70.7520678777778, 21.5289266222222, 90
2020-01-01 12:15:00, 71.0607789, 21.7004326777778, 90
2020-01-01 12:30:00, 71.8282432444445, 22.1268018555556, 90
2020-01-01 12:45:00, 72.0622094888889, 22.2567830555556, 90
2020-01-01 13:00:00, 70.3532253333333, 21.3073473777778, 90
2020-01-01 13:15:00, 72.4488785333333, 22.4715991777778, 90
2020-01-01 13:30:00, 72.6378545888889, 22.5765858444444, 90
2020-01-01 13:45:00, 71.5901817666667, 21.9945454, 90
2020-01-01 14:00:00, 70.9349484111111, 21.6305269, 90
2020-01-01 14:15:00, 71.1726986555555, 21.7626103333333, 90
2020-01-01 14:30:00, 71.3012292, 21.8340162333333, 90
2020-01-01 14:45:00, 72.0999228666667, 22.2777348666667, 90
2020-01-01 15:00:00, 71.4857934111111, 21.9365518, 90
2020-01-01 15:15:00, 70.7690542, 21.5383634, 90
2020-01-01 15:30:00, 70.7202772555556, 21.5112652, 90
2020-01-01 15:45:00, 70.0754764444444, 21.1530424222222, 90
2020-01-01 16:00:00, 67.1171736555556, 19.5095409111111, 90
2020-01-01 16:15:00, 67.1588199777778, 19.5326776888889, 90
2020-01-01 16:30:00, 66.4745537333333, 19.1525299333333, 90
2020-01-01 16:45:00, 64.7321383777778, 18.1845213, 90
2020-01-01 17:00:00, 63.3459766666667, 17.4144315, 90
2020-01-01 17:15:00, 62.4037936111111, 16.8909964444444, 90
2020-01-01 17:30:00, 61.6090097555556, 16.4494498777778, 90
2020-01-01 17:45:00, 61.0300851777778, 16.1278251222222, 90
2020-01-01 18:00:00, 60.4279158444444, 15.7932866, 90
2020-01-01 18:15:00, 59.9386599444444, 15.5214777444444, 90
2020-01-01 18:30:00, 59.5680241, 15.3155689888889, 90
2020-01-01 18:45:00, 59.0559880444444, 15.0311045111111, 90
2020-01-01 19:00:00, 58.5811871555556, 14.7673261777778, 90
2020-01-01 19:15:00, 57.6872164, 14.2706758, 90
2020-01-01 19:30:00, 57.2252572222222, 14.0140317222222, 90
2020-01-01 19:45:00, 56.7141426, 13.7300793, 90
2020-01-01 20:00:00, 56.5989904777778, 13.6661058666667, 90
2020-01-01 20:15:00, 57.0368790555556, 13.9093772555556, 90
2020-01-01 20:30:00, 57.0098024333333, 13.8943347111111, 90
2020-01-01 20:45:00, 56.4951837333333, 13.6084353111111, 90
2020-01-01 21:00:00, 55.8809298888889, 13.2671832777778, 90
2020-01-01 21:15:00, 55.3761162666667, 12.9867312444444, 90
2020-01-01 21:30:00, 55.4191131777778, 13.0106184777778, 90
2020-01-01 21:45:00, 55.3757592444444, 12.9865329555556, 90
2020-01-01 22:00:00, 54.6298597444444, 12.5721443333333, 90
2020-01-01 22:15:00, 54.3879038333333, 12.4377243444444, 90
2020-01-01 22:30:00, 53.7400919555556, 12.0778289, 90
2020-01-01 22:45:00, 53.3570941666667, 11.8650522666667, 90
2020-01-01 23:00:00, 52.8753558, 11.5974199444444, 90
2020-01-01 23:15:00, 52.4552451222222, 11.3640251111111, 90
2020-01-01 23:30:00, 52.1278462888889, 11.1821368666667, 90
2020-01-01 23:45:00, 52.1803223444444, 11.2112901888889, 90
2020-01-02, 51.0308928426966, 10.572718247191, 89
2020-01-02 00:15:00, 51.1320670777778, 10.6289261666667, 90
2020-01-02 00:30:00, 51.4577706222222, 10.8098725111111, 90
2020-01-02 00:45:00, 51.1453632444444, 10.6363128777778, 90
2020-01-02 01:00:00, 50.5912541666667, 10.3284745111111, 90
2020-01-02 01:15:00, 49.6797582777778, 9.8220879, 90
2020-01-02 01:30:00, 49.4162679555556, 9.67570445555556, 90
2020-01-02 01:45:00, 50.2480128666667, 10.1377849444444, 90
2020-01-02 02:00:00, 49.9469333888889, 9.97051856666667, 90
2020-01-02 02:15:00, 49.5528717111111, 9.75159532222222, 90
2020-01-02 02:30:00, 49.2427970888889, 9.57933174444444, 90
2020-01-02 02:45:00, 48.5865423666667, 9.21474581111111, 90
2020-01-02 03:00:00, 48.7732921777778, 9.31849568888889, 90
2020-01-02 03:15:00, 48.5775477, 9.2097487, 90
2020-01-02 03:30:00, 48.1970281111111, 8.99834896666667, 90
2020-01-02 03:45:00, 47.8400172111111, 8.80000955555556, 90
2020-01-02 04:00:00, 47.5708441222222, 8.650469, 90
2020-01-02 04:15:00, 47.7166737333333, 8.73148542222222, 90
2020-01-02 04:30:00, 47.4076908666667, 8.55982825555555, 90
2020-01-02 04:45:00, 47.6235633, 8.6797574, 90
2020-01-02 05:00:00, 47.5532244333333, 8.64068022222222, 90
2020-01-02 05:15:00, 48.2427008444444, 9.02372273333333, 90
2020-01-02 05:30:00, 48.3325458666667, 9.07363664444444, 90
2020-01-02 05:45:00, 47.1581321777778, 8.42118457777778, 90
2020-01-02 06:00:00, 47.9581296888889, 8.86562763333333, 90
2020-01-02 06:15:00, 48.5726433, 9.20702402222222, 90
2020-01-02 06:30:00, 48.0167690777778, 8.89820508888889, 90
2020-01-02 06:45:00, 48.5076819222222, 9.17093444444444, 90
2020-01-02 07:00:00, 47.9290639222222, 8.84947992222222, 90
2020-01-02 07:15:00, 47.8307341222222, 8.79485224444444, 90
2020-01-02 07:30:00, 48.0609580888889, 8.92275448888889, 90
2020-01-02 07:45:00, 48.7855525444444, 9.32530698888889, 90
2020-01-02 08:00:00, 50.1841904, 10.1023280111111, 90
2020-01-02 08:15:00, 52.0913982333333, 11.1618878555556, 90
2020-01-02 08:30:00, 54.0776032222222, 12.2653350555556, 90
2020-01-02 08:45:00, 55.6190182666667, 13.1216767333333, 90
2020-01-02 09:00:00, 57.5274352888889, 14.1819084555556, 90
2020-01-02 09:15:00, 58.7395732444444, 14.8553184444444, 90
2020-01-02 09:30:00, 60.5778773888889, 15.8765985444444, 90
2020-01-02 09:45:00, 61.9032275111111, 16.6129041222222, 90
2020-01-02 10:00:00, 62.7373389555556, 17.0762994111111, 90
2020-01-02 10:15:00, 63.4793748777778, 17.4885416111111, 90
2020-01-02 10:30:00, 64.3815188222222, 17.9897326777778, 90
2020-01-02 10:45:00, 64.4196858, 18.0109365222222, 90
2020-01-02 11:00:00, 64.7680483888889, 18.2044713111111, 90
2020-01-02 11:15:00, 66.1252179222222, 18.9584544111111, 90
2020-01-02 11:30:00, 67.7029979555556, 19.8349989, 90
2020-01-02 11:45:00, 68.1960683333333, 20.1089268777778, 90
2020-01-02 12:00:00, 69.8240431222222, 21.0133573222222, 90
2020-01-02 12:15:00, 70.2883228555555, 21.2712904666667, 90
2020-01-02 12:30:00, 70.9762307222222, 21.6534614555556, 90
2020-01-02 12:45:00, 70.6508165444444, 21.4726758555556, 90
2020-01-02 13:00:00, 71.0214269222222, 21.6785705222222, 90
2020-01-02 13:15:00, 70.7377157555556, 21.5209531555556, 90
2020-01-02 13:30:00, 71.0679064, 21.7043924777778, 90
2020-01-02 13:45:00, 70.7844671666667, 21.5469262444444, 90
2020-01-02 14:00:00, 71.3842385888889, 21.8801325444444, 90
2020-01-02 14:15:00, 71.6127978333333, 22.0071098666667, 90
2020-01-02 14:30:00, 72.3174753444444, 22.3985973888889, 90
2020-01-02 14:45:00, 71.9434279888889, 22.1907933111111, 90
2020-01-02 15:00:00, 70.501117, 21.3895094555556, 90
2020-01-02 15:15:00, 70.2302711666667, 21.2390395666667, 90
2020-01-02 15:30:00, 68.7220371444444, 20.4011318, 90
2020-01-02 15:45:00, 67.8991507666667, 19.9439726222222, 90
2020-01-02 16:00:00, 67.1200545888889, 19.5111414555556, 90
2020-01-02 16:15:00, 66.3411947111111, 19.0784415111111, 90
2020-01-02 16:30:00, 65.8872922888889, 18.8262734555556, 90
2020-01-02 16:45:00, 64.9455373333333, 18.3030763222222, 90
2020-01-02 17:00:00, 64.0116168089888, 17.7842315617978, 89
2020-01-02 17:15:00, 62.9345333, 17.1858518111111, 90
2020-01-02 17:30:00, 61.8992347111111, 16.6106859444444, 90
2020-01-02 17:45:00, 61.4805483777778, 16.3780824, 90
2020-01-02 18:00:00, 61.0484374, 16.1380208333333, 90
2020-01-02 18:15:00, 60.7060560222222, 15.9478089444444, 90
2020-01-02 18:30:00, 59.4463842555556, 15.2479912, 90
2020-01-02 18:45:00, 58.4450008666667, 14.6916671, 90
2020-01-02 19:00:00, 57.7950441777778, 14.3305800333333, 90
2020-01-02 19:15:00, 57.4396596222222, 14.1331442, 90
2020-01-02 19:30:00, 57.1028311777778, 13.9460173111111, 90
2020-01-02 19:45:00, 57.2211062444444, 14.0117256888889, 90
2020-01-02 20:00:00, 56.9083411222222, 13.8379673333333, 90
2020-01-02 20:15:00, 56.3664022777778, 13.5368901, 90
2020-01-02 20:30:00, 56.1765393111111, 13.4314108, 90
2020-01-02 20:45:00, 55.7772983222222, 13.2096101888889, 90
2020-01-02 21:00:00, 55.4400327666667, 13.0222404222222, 90
2020-01-02 21:15:00, 54.8935511555556, 12.7186395222222, 90
2020-01-02 21:30:00, 54.6977530555556, 12.6098627666667, 90
2020-01-02 21:45:00, 54.5890466555556, 12.5494703444444, 90
2020-01-02 22:00:00, 53.8063477111111, 12.1146376555556, 90
2020-01-02 22:15:00, 53.4168374222222, 11.8982430222222, 90
2020-01-02 22:30:00, 52.9172461555556, 11.6206923222222, 90
2020-01-02 22:45:00, 53.1196656555556, 11.7331475777778, 90
2020-01-02 23:00:00, 52.8748564666667, 11.5971424888889, 90
2020-01-02 23:15:00, 52.4792657333333, 11.3773698666667, 90
2020-01-02 23:30:00, 52.8168883888889, 11.564938, 90
2020-01-02 23:45:00, 52.1788808555556, 11.2104893666667, 90
2020-01-03, 52.2779219444444, 11.2655122333333, 90
2020-01-03 00:15:00, 52.1282625444444, 11.1823680777778, 90
2020-01-03 00:30:00, 52.7058031222222, 11.5032239777778, 90
2020-01-03 00:45:00, 53.5820693555556, 11.9900385444444, 90
2020-01-03 01:00:00, 53.0248220777778, 11.6804566666667, 90
2020-01-03 01:15:00, 52.4498737333333, 11.3610409666667, 90
2020-01-03 01:30:00, 52.9109269888889, 11.6171816555556, 90
2020-01-03 01:45:00, 52.6587767777778, 11.4770982, 90
2020-01-03 02:00:00, 51.5270698111111, 10.8483721111111, 90
2020-01-03 02:15:00, 51.155355, 10.6418638777778, 90
2020-01-03 02:30:00, 53.1695823888889, 11.7608791222222, 90
2020-01-03 02:45:00, 53.8791874888889, 12.1551041444444, 90
2020-01-03 03:00:00, 55.1879351888889, 12.8821861777778, 90
2020-01-03 03:15:00, 55.8734321666667, 13.2630178333333, 90
2020-01-03 03:30:00, 55.6374171, 13.1318983333333, 90
2020-01-03 03:45:00, 55.9729257111111, 13.3182921111111, 90
2020-01-03 04:00:00, 55.3734188555556, 12.9852327222222, 90
2020-01-03 04:15:00, 55.2916369, 12.9397982666667, 90
2020-01-03 04:30:00, 54.3878585222222, 12.4376991888889, 90
2020-01-03 04:45:00, 53.1227658444444, 11.7348698888889, 90
2020-01-03 05:00:00, 52.1154617444444, 11.1752564555556, 90
2020-01-03 05:15:00, 53.8160505555556, 12.1200280555556, 90
2020-01-03 05:30:00, 53.1970457333333, 11.7761364888889, 90
2020-01-03 05:45:00, 51.1229154333333, 10.6238419222222, 90
2020-01-03 06:00:00, 51.1730157222222, 10.6516754444444, 90
2020-01-03 06:15:00, 54.3865678111111, 12.4369821222222, 90
2020-01-03 06:30:00, 53.4001078333333, 11.8889488111111, 90
2020-01-03 06:45:00, 51.9470444333333, 11.0816913777778, 90
2020-01-03 07:00:00, 52.2214358666667, 11.2341310555556, 90
2020-01-03 07:15:00, 51.7202194777778, 10.9556774888889, 90
2020-01-03 07:30:00, 50.6766965666667, 10.3759425555556, 90
2020-01-03 07:45:00, 52.3407042111111, 11.3003912111111, 90
2020-01-03 08:00:00, 54.4462038, 12.4701132222222, 90
2020-01-03 08:15:00, 58.4241519111111, 14.6800844444444, 90
2020-01-03 08:30:00, 61.3078237555556, 16.2821243111111, 90
2020-01-03 08:45:00, 63.1364923333333, 17.2980512888889, 90
2020-01-03 09:00:00, 62.9987496, 17.2215275555556, 90
2020-01-03 09:15:00, 63.4424934555556, 17.4680519555556, 90
2020-01-03 09:30:00, 64.9428205111111, 18.3015669666667, 90
2020-01-03 09:45:00, 67.3680366222222, 19.6489092555556, 90
2020-01-03 10:00:00, 67.9356149333333, 19.9642305666667, 90
2020-01-03 10:15:00, 68.9848131111111, 20.5471184666667, 90
2020-01-03 10:30:00, 71.0993250777778, 21.7218472444444, 90
2020-01-03 10:45:00, 73.0354302777778, 22.7974612333333, 90
2020-01-03 11:00:00, 72.9868803444444, 22.7704891333333, 90
2020-01-03 11:15:00, 73.9174623666667, 23.2874791, 90
2020-01-03 11:30:00, 75.7301767777778, 24.2945426, 90
2020-01-03 11:45:00, 76.9854791222222, 24.9919328333333, 90
2020-01-03 12:00:00, 77.1277667111111, 25.0709814777778, 90
2020-01-03 12:15:00, 77.8927148111111, 25.4959526333333, 90
2020-01-03 12:30:00, 77.8106737333333, 25.4503742777778, 90
2020-01-03 12:45:00, 77.1667077444444, 25.0926153444444, 90
2020-01-03 13:00:00, 76.5964616888889, 24.775812, 90
2020-01-03 13:15:00, 77.9332561777778, 25.5184755888889, 90
2020-01-03 13:30:00, 76.8061055222222, 24.8922808555556, 90
2020-01-03 13:45:00, 77.3559276666667, 25.1977375777778, 90
2020-01-03 14:00:00, 77.9621224888889, 25.5345124777778, 90
2020-01-03 14:15:00, 78.6743482666667, 25.9301935444444, 90
2020-01-03 14:30:00, 78.4626228444444, 25.8125682333333, 90
2020-01-03 14:45:00, 77.6596673111111, 25.3664819, 90
2020-01-03 15:00:00, 78.6753537333333, 25.9307520777778, 90
2020-01-03 15:15:00, 77.7770264444444, 25.4316813777778, 90
2020-01-03 15:30:00, 77.5113575, 25.2840875, 90
2020-01-03 15:45:00, 76.9239172, 24.9577317777778, 90
2020-01-03 16:00:00, 76.3885039333333, 24.6602799777778, 90
2020-01-03 16:15:00, 75.4166610111111, 24.1203672, 90
2020-01-03 16:30:00, 72.7177025444444, 22.6209458444444, 90
2020-01-03 16:45:00, 71.2611755555556, 21.8117642555556, 90
2020-01-03 17:00:00, 69.4526678666667, 20.8070376777778, 90
2020-01-03 17:15:00, 68.0075301888889, 20.0041834111111, 90
2020-01-03 17:30:00, 66.9581835, 19.4212130333333, 90
2020-01-03 17:45:00, 66.4742649444444, 19.1523694333333, 90
2020-01-03 18:00:00, 65.4713062333333, 18.5951701444444, 90
2020-01-03 18:15:00, 65.3946988555556, 18.5526104666667, 90
2020-01-03 18:30:00, 64.5542444444444, 18.0856913555556, 90
2020-01-03 18:45:00, 63.3909060333333, 17.4393922666667, 90
2020-01-03 19:00:00, 61.6314223, 16.4619013333333, 90
2020-01-03 19:15:00, 59.9445467640449, 15.524748247191, 89
2020-01-03 19:30:00, 59.8278055555556, 15.4598919555556, 90
2020-01-03 19:45:00, 59.5025708777778, 15.2792059888889, 90
2020-01-03 20:00:00, 58.0398688222222, 14.4665938111111, 90
2020-01-03 20:15:00, 57.5918007333333, 14.2176671, 90
2020-01-03 20:30:00, 58.2332812888889, 14.5740451222222, 90
2020-01-03 20:45:00, 57.2452820666667, 14.0251567, 90
2020-01-03 21:00:00, 56.8015511222222, 13.7786394888889, 90
2020-01-03 21:15:00, 57.1931224111111, 13.9961791111111, 90
2020-01-03 21:30:00, 57.0750880222222, 13.9306043888889, 90
2020-01-03 21:45:00, 55.8888034333333, 13.2715575, 90
2020-01-03 22:00:00, 55.2459967555556, 12.9144425777778, 90
2020-01-03 22:15:00, 55.5191067888889, 13.0661703555556, 90
2020-01-03 22:30:00, 55.4083288666667, 13.0046271333333, 90
2020-01-03 22:45:00, 55.2515987666667, 12.9175548222222, 90
2020-01-03 23:00:00, 55.9802106555556, 13.3223392444444, 90
2020-01-03 23:15:00, 54.9686215888889, 12.7603453777778, 90
2020-01-03 23:30:00, 53.7100784888889, 12.0611547555556, 90
2020-01-03 23:45:00, 53.1099755, 11.7277641555556, 90
